['334', '461', '814', '806', '590', '819', '107', '202', '879', '58', '842', '77', '739', '419', '689', '13', '425', '379', '490', '411', '251', '105', '415', '833', '457', '315', '420', '823', '93', '353', '162', '47', '286', '727', '636', '291', '897', '695', '657', '180', '106', '649', '319', '711', '666']
['73', '274', '308', '157', '340', '545', '884', '828', '332', '201', '300', '284', '492', '818', '878', '512', '432', '1', '318', '766', '129', '255', '486', '616', '75', '843', '309', '742', '177', '532', '126', '899', '51', '104', '355', '347', '482', '393', '514', '670', '79', '375', '442', '890', '165']
['331', '62', '668', '139', '14', '87', '549', '117', '220', '254', '775', '137', '574', '533', '596', '655', '573', '673', '871', '246', '831', '791', '236', '784', '434', '132', '147', '551', '344', '808', '820', '548', '662', '68', '889', '684', '64', '682', '737', '730', '268', '584', '161', '366', '327']
['569', '376', '751', '718', '21', '647', '289', '525', '203', '370', '581', '493', '811', '328', '534', '26', '841', '155', '294', '364', '89', '41', '462', '488', '392', '464', '428', '158', '507', '16', '891', '564', '785', '743', '888', '216', '762', '554', '369', '266', '12', '2', '876', '579', '181']
['316', '409', '637', '127', '142', '225', '233', '459', '19', '882', '359', '556', '722', '444', '643', '691', '518', '84', '604', '378', '738', '85', '474', '563', '599', '697', '325', '279', '417', '475', '261', '95', '894', '612', '778', '607', '845', '23', '396', '635', '170', '436', '341', '500', '661']
['774', '248', '614', '321', '448', '218', '480', '840', '394', '63', '685', '82', '244', '732', '881', '66', '110', '783', '385', '562', '619', '546', '802', '0', '380', '256', '250', '652', '866', '885', '260', '734', '528', '25', '367', '622', '35', '740', '886', '168', '398', '577', '511', '671', '326']
['797', '750', '688', '822', '173', '763', '421', '287', '527', '628', '454', '338', '204', '224', '306', '17', '779', '301', '648', '595', '541', '242', '352', '481', '617', '384', '830', '696', '441', '234', '356', '704', '223', '153', '861', '44', '509', '693', '100', '651', '505', '667', '634', '716', '611']
['213', '708', '6', '145', '765', '38', '805', '576', '5', '324', '677', '537', '640', '109', '72', '29', '859', '186', '559', '372', '358', '848', '4', '414', '455', '413', '602', '194', '310', '391', '365', '506', '124', '629', '290', '575', '721', '609', '206', '243', '470', '583', '175', '761', '277']
['664', '311', '91', '466', '867', '817', '826', '777', '654', '873', '395', '71', '764', '887', '728', '184', '386', '377', '323', '499', '46', '592', '504', '724', '363', '43', '422', '443', '591', '626', '705', '690', '42', '498', '665', '793', '429', '692', '33', '800', '720', '467', '156', '733', '827']
['557', '589', '767', '83', '715', '349', '215', '307', '221', '701', '34', '228', '37', '586', '837', '789', '10', '179', '631', '570', '832', '540', '717', '199', '408', '330', '437', '8', '69', '582', '304', '524', '285', '472', '853', '669', '197', '663', '746', '169', '868', '140', '813', '122', '672']
['756', '565', '360', '653', '53', '339', '678', '389', '780', '31', '650', '769', '816', '796', '131', '794', '468', '333', '834', '624', '410', '123', '174', '639', '152', '489', '219', '768', '674', '412', '553', '807', '450', '373', '627', '39', '856', '632', '844', '239', '458', '399', '24', '608', '192']
['163', '615', '217', '49', '210', '150', '18', '190', '151', '424', '172', '712', '265', '188', '303', '15', '863', '587', '433', '98', '423', '660', '748', '803', '345', '257', '478', '847', '288', '485', '801', '128', '700', '113', '566', '497', '571', '658', '404', '149', '558', '144', '849', '418', '552']
['27', '523', '679', '212', '112', '521', '729', '249', '55', '641', '102', '772', '471', '508', '526', '892', '336', '702', '36', '686', '357', '302', '116', '603', '644', '520', '860', '542', '317', '240', '90', '749', '171', '642', '824', '753', '164', '706', '633', '118', '297', '630', '815', '7', '759']
['496', '59', '439', '229', '757', '28', '430', '874', '501', '839', '293', '121', '231', '346', '760', '799', '57', '166', '440', '214', '119', '681', '502', '513', '20', '555', '605', '114', '675', '638', '86', '238', '893', '196', '146', '854', '322', '76', '296', '397', '133', '810', '189', '869', '773']
['427', '585', '850', '851', '60', '329', '160', '752', '703', '452', '195', '707', '620', '245', '476', '453', '519', '463', '32', '343', '136', '81', '572', '295', '687', '267', '782', '683', '56', '862', '48', '787', '388', '222', '208', '67', '178', '656', '714', '74', '185', '517', '88', '744', '731']
['167', '857', '103', '460', '699', '30', '798', '829', '898', '594', '371', '200', '313', '159', '280', '835', '880', '111', '606', '403', '645', '544', '786', '736', '99', '623', '381', '698', '601', '838', '659', '792', '320', '465', '269', '539', '383', '543', '362', '54', '22', '530', '741', '45', '299']
['809', '725', '9', '503', '770', '846', '870', '795', '272', '230', '445', '522', '335', '226', '426', '262', '416', '108', '865', '183', '382', '747', '361', '588', '61', '407', '387', '252', '858', '788', '531', '390', '406', '754', '610', '578', '495', '278', '207', '354', '276', '50', '125', '515', '351']
['825', '237', '401', '625', '94', '535', '273', '580', '283', '473', '567', '247', '646', '484', '483', '895', '342', '198', '755', '855', '758', '494', '138', '259', '694', '241', '510', '187', '337', '305', '487', '282', '598', '141', '477', '735', '400', '11', '264', '281', '719', '314', '781', '550', '232']
['92', '120', '547', '211', '491', '368', '536', '593', '80', '529', '597', '877', '292', '618', '621', '676', '713', '350', '821', '65', '613', '456', '561', '78', '101', '275', '193', '348', '97', '804', '235', '263', '130', '258', '227', '143', '298', '447', '135', '896', '864', '875', '431', '438', '538']
['883', '852', '449', '70', '205', '176', '560', '271', '776', '270', '600', '709', '52', '723', '134', '96', '836', '516', '435', '182', '402', '469', '148', '154', '726', '745', '680', '209', '790', '253', '405', '568', '3', '812', '771', '40', '710', '191', '872', '451', '479', '446', '374', '115', '312']
