['214', '120']
['174', '10']
['139', '194']
['168', '221']
['29', '245']
['113', '37']
['224', '171']
['189', '79']
['190', '58']
['228', '3']
['179', '222']
['82', '116']
['152', '67']
['183', '121']
['13', '138']
['26', '63']
['101', '45']
['181', '14']
['204', '76']
['219', '90']
['49', '160']
['118', '212']
['182', '205']
['117', '103']
['104', '52']
['109', '133']
['50', '73']
['163', '40']
['69', '206']
['232', '233']
['100', '86']
['39', '150']
['178', '184']
['55', '16']
['106', '164']
['246', '2']
['201', '108']
['74', '238']
['23', '170']
['200', '159']
['89', '249']
['140', '156']
['208', '18']
['136', '127']
['227', '175']
['193', '226']
['65', '43']
['17', '54']
['155', '11']
['8', '48']
['62', '247']
['42', '34']
['105', '44']
['107', '132']
['114', '70']
['6', '111']
['72', '94']
['215', '80']
['229', '166']
['169', '147']
['176', '220']
['143', '223']
['110', '196']
['242', '85']
['148', '187']
['237', '7']
['91', '27']
['186', '88']
['134', '172']
['20', '21']
['60', '126']
['141', '241']
['78', '239']
['188', '28']
['202', '25']
['119', '209']
['68', '1']
['66', '211']
['24', '51']
['4', '225']
['36', '123']
['92', '128']
['19', '129']
['71', '35']
['142', '30']
['47', '53']
['199', '149']
['83', '0']
['157', '81']
['96', '87']
['213', '217']
['153', '31']
['146', '77']
['102', '84']
['235', '154']
['115', '41']
['236', '243']
['162', '161']
['240', '144']
['95', '231']
['75', '46']
['38', '234']
['131', '158']
['192', '203']
['180', '248']
['130', '33']
['125', '98']
['99', '173']
['32', '207']
['151', '5']
['61', '57']
['230', '12']
['137', '122']
['165', '9']
['124', '218']
['244', '135']
['64', '185']
['167', '56']
['15', '97']
['210', '145']
['59', '216']
['177', '198']
['93', '112']
['191', '197']
['22']
['195']
